short,name,material,region,mat_flag,wavelength_um,tau_fs,F0_jcm2,beam_radius_a_um,beam_radius_b_um,beam_radius_definition,fluence_basis,reference_I0_wcm2,I0_wcm2,n0,n2_m2_per_w,Eg_eV,mred_over_me,reduced_mass_definition,gamma_electron_mass_over_me,gamma_heavy_hole_mass_over_me,kappa_recorded_not_used,transmission_factor,reference_file,diagnostic_only,parameter_status,dataset,density_index,intensity_index,I_wcm2,ne_cm3,log10_I_grid_wcm2,log10_ne_grid_cm3,Wpi_grid_cm3_fs,Wav_grid_cm3_fs,Wtotal_grid_cm3_fs,log10_Wtotal_grid_cm3_fs
GaAs_NIR,"GaAs, 0.8 $\mu$m",GaAs,NIR,1,0.8,100.0,0.022,162.1,152.4,1/e^2 intensity radius,surface incident,,206676201313.9233,3.682,,1.4239999999999997,0.05908289241622576,Gamma electron-heavy-hole reduced mass,0.067,0.5,0.069,0.6718633588314177,../input_parameters/GaAs_Keldysh_Parameter.docx,True,"800 nm is above the 300 K direct gap. The input index is n+i*kappa = 3.682+0.069i, but this zero-D Keldysh/avalanche result uses only Re(n); it is diagnostic only and omits direct one-photon interband absorption, complex-index propagation, and loss.",surface3d,0,0,10000000000.0,10000000000.0,10.0,10.0,1.8004786307971632e+17,0.11411916479988085,1.8004786307971632e+17,17.255387971260234
GaAs_NIR,"GaAs, 0.8 $\mu$m",GaAs,NIR,1,0.8,100.0,0.022,162.1,152.4,1/e^2 intensity radius,surface incident,,206676201313.9233,3.682,,1.4239999999999997,0.05908289241622576,Gamma electron-heavy-hole reduced mass,0.067,0.5,0.069,0.6718633588314177,../input_parameters/GaAs_Keldysh_Parameter.docx,True,"800 nm is above the 300 K direct gap. The input index is n+i*kappa = 3.682+0.069i, but this zero-D Keldysh/avalanche result uses only Re(n); it is diagnostic only and omits direct one-photon interband absorption, complex-index propagation, and loss.",surface3d,0,1,12648552168.552958,10000000000.0,10.10204081632653,10.0,2.2766490045441034e+17,0.14434422094029853,2.2766490045441034e+17,17.357296079741317
GaAs_NIR,"GaAs, 0.8 $\mu$m",GaAs,NIR,1,0.8,100.0,0.022,162.1,152.4,1/e^2 intensity radius,surface incident,,206676201313.9233,3.682,,1.4239999999999997,0.05908289241622576,Gamma electron-heavy-hole reduced mass,0.067,0.5,0.069,0.6718633588314177,../input_parameters/GaAs_Keldysh_Parameter.docx,True,"800 nm is above the 300 K direct gap. The input index is n+i*kappa = 3.682+0.069i, but this zero-D Keldysh/avalanche result uses only Re(n); it is diagnostic only and omits direct one-photon interband absorption, complex-index propagation, and loss.",surface3d,0,2,15998587196.060574,10000000000.0,10.204081632653061,10.0,2.8785168885659747e+17,0.18257454087925004,2.8785168885659747e+17,17.45916878185073
GaAs_NIR,"GaAs, 0.8 $\mu$m",GaAs,NIR,1,0.8,100.0,0.022,162.1,152.4,1/e^2 intensity radius,surface incident,,206676201313.9233,3.682,,1.4239999999999997,0.05908289241622576,Gamma electron-heavy-hole reduced mass,0.067,0.5,0.069,0.6718633588314177,../input_parameters/GaAs_Keldysh_Parameter.docx,True,"800 nm is above the 300 K direct gap. The input index is n+i*kappa = 3.682+0.069i, but this zero-D Keldysh/avalanche result uses only Re(n); it is diagnostic only and omits direct one-photon interband absorption, complex-index propagation, and loss.",surface3d,0,3,20235896477.251556,10000000000.0,10.306122448979592,10.0,3.6390798545975066e+17,0.23093036049607985,3.6390798545975066e+17,17.56099158568531
GaAs_NIR,"GaAs, 0.8 $\mu$m",GaAs,NIR,1,0.8,100.0,0.022,162.1,152.4,1/e^2 intensity radius,surface incident,,206676201313.9233,3.682,,1.4239999999999997,0.05908289241622576,Gamma electron-heavy-hole reduced mass,0.067,0.5,0.069,0.6718633588314177,../input_parameters/GaAs_Keldysh_Parameter.docx,True,"800 nm is above the 300 K direct gap. The input index is n+i*kappa = 3.682+0.069i, but this zero-D Keldysh/avalanche result uses only Re(n); it is diagnostic only and omits direct one-photon interband absorption, complex-index propagation, and loss.",surface3d,0,4,25595479226.99533,10000000000.0,10.408163265306122,10.0,4.599925235746248e+17,0.2920934712037407,4.599925235746248e+17,17.662750772993157
GaAs_NIR,"GaAs, 0.8 $\mu$m",GaAs,NIR,1,0.8,100.0,0.022,162.1,152.4,1/e^2 intensity radius,surface incident,,206676201313.9233,3.682,,1.4239999999999997,0.05908289241622576,Gamma electron-heavy-hole reduced mass,0.067,0.5,0.069,0.6718633588314177,../input_parameters/GaAs_Keldysh_Parameter.docx,True,"800 nm is above the 300 K direct gap. The input index is n+i*kappa = 3.682+0.069i, but this zero-D Keldysh/avalanche result uses only Re(n); it is diagnostic only and omits direct one-photon interband absorption, complex-index propagation, and loss.",surface3d,0,5,32374575428.1764,10000000000.0,10.510204081632653,10.0,5.813342219963753e+17,0.3694559508614235,5.813342219963753e+17,17.764425889766496
GaAs_NIR,"GaAs, 0.8 $\mu$m",GaAs,NIR,1,0.8,100.0,0.022,162.1,152.4,1/e^2 intensity radius,surface incident,,206676201313.9233,3.682,,1.4239999999999997,0.05908289241622576,Gamma electron-heavy-hole reduced mass,0.067,0.5,0.069,0.6718633588314177,../input_parameters/GaAs_Keldysh_Parameter.docx,True,"800 nm is above the 300 K direct gap. The input index is n+i*kappa = 3.682+0.069i, but this zero-D Keldysh/avalanche result uses only Re(n); it is diagnostic only and omits direct one-photon interband absorption, complex-index propagation, and loss.",surface3d,0,6,40949150623.80419,10000000000.0,10.612244897959183,10.0,7.344949533128968e+17,0.4673082868453054,7.344949533128968e+17,17.865988816115532
GaAs_NIR,"GaAs, 0.8 $\mu$m",GaAs,NIR,1,0.8,100.0,0.022,162.1,152.4,1/e^2 intensity radius,surface incident,,206676201313.9233,3.682,,1.4239999999999997,0.05908289241622576,Gamma electron-heavy-hole reduced mass,0.067,0.5,0.069,0.6718633588314177,../input_parameters/GaAs_Keldysh_Parameter.docx,True,"800 nm is above the 300 K direct gap. The input index is n+i*kappa = 3.682+0.069i, but this zero-D Keldysh/avalanche result uses only Re(n); it is diagnostic only and omits direct one-photon interband absorption, complex-index propagation, and loss.",surface3d,0,7,51794746792.31202,10000000000.0,10.714285714285714,10.0,9.276844850277331e+17,0.5910773244959955,9.276844850277331e+17,17.96740029334083
GaAs_NIR,"GaAs, 0.8 $\mu$m",GaAs,NIR,1,0.8,100.0,0.022,162.1,152.4,1/e^2 intensity radius,surface incident,,206676201313.9233,3.682,,1.4239999999999997,0.05908289241622576,Gamma electron-heavy-hole reduced mass,0.067,0.5,0.069,0.6718633588314177,../input_parameters/GaAs_Keldysh_Parameter.docx,True,"800 nm is above the 300 K direct gap. The input index is n+i*kappa = 3.682+0.069i, but this zero-D Keldysh/avalanche result uses only Re(n); it is diagnostic only and omits direct one-photon interband absorption, complex-index propagation, and loss.",surface3d,0,8,65512855685.954956,10000000000.0,10.816326530612244,10.0,1.1711285286138806e+18,0.7476272374536305,1.1711285286138806e+18,18.068604560490506
GaAs_NIR,"GaAs, 0.8 $\mu$m",GaAs,NIR,1,0.8,100.0,0.022,162.1,152.4,1/e^2 intensity radius,surface incident,,206676201313.9233,3.682,,1.4239999999999997,0.05908289241622576,Gamma electron-heavy-hole reduced mass,0.067,0.5,0.069,0.6718633588314177,../input_parameters/GaAs_Keldysh_Parameter.docx,True,"800 nm is above the 300 K direct gap. The input index is n+i*kappa = 3.682+0.069i, but this zero-D Keldysh/avalanche result uses only Re(n); it is diagnostic only and omits direct one-photon interband absorption, complex-index propagation, and loss.",surface3d,0,9,82864277285.4686,10000000000.0,10.918367346938776,10.0,1.4774775598977052e+18,0.9456402115563415,1.4774775598977052e+18,18.169520893487906
